,Call Date,,,,,,
Neighborhooods - Analysis Boundaries,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Bayview Hunters Point,10.329,10.429,10.317,10.456,10.475,11.999,10.088
Bernal Heights,9.921,10.164,9.822,9.939,9.985,10.156,14.828
Castro/Upper Market,8.786,8.396,8.428,8.620,8.989,8.868,9.438
Chinatown,8.642,9.292,9.075,8.746,9.264,10.614,10.336
Excelsior,9.764,10.478,10.246,10.186,9.790,10.594,10.114
Financial District/South Beach,9.973,9.667,9.853,10.105,9.909,9.968,10.240
Glen Park,9.326,9.678,9.860,9.453,10.341,9.817,9.958
Golden Gate Park,9.504,10.062,9.081,9.186,9.589,9.635,10.092
Haight Ashbury,8.277,9.441,8.145,8.325,8.468,9.038,8.331
Hayes Valley,8.096,8.558,8.787,8.875,8.708,8.668,8.896
Inner Richmond,8.888,8.568,8.417,8.670,8.689,9.332,8.647
Inner Sunset,8.978,8.783,9.441,8.856,9.078,9.013,9.926
Japantown,8.553,9.360,9.340,9.049,9.304,9.446,8.964
Lakeshore,11.138,11.363,11.283,11.052,10.748,11.978,11.330
Lincoln Park,13.101,15.939,11.440,10.448,13.000,12.423,12.574
Lone Mountain/USF,8.956,9.012,8.733,9.748,9.165,9.360,9.681
Marina,9.035,9.443,8.836,9.258,9.223,9.483,8.968
McLaren Park,12.016,11.058,10.386,11.955,9.944,11.080,10.826
Mission,9.046,8.781,8.577,9.635,8.839,8.912,8.570
Mission Bay,9.184,9.693,9.849,9.519,9.987,9.981,9.588
Nob Hill,7.854,8.127,8.324,8.149,8.212,8.346,8.156
Noe Valley,8.776,9.008,8.971,8.578,8.828,8.548,8.482
North Beach,9.895,9.672,9.952,9.783,9.641,10.014,9.829
Oceanview/Merced/Ingleside,9.581,10.586,10.340,9.968,10.058,9.956,9.476
Outer Mission,9.695,10.024,9.663,10.507,9.484,9.688,9.549
Outer Richmond,9.742,10.133,9.747,9.455,9.838,10.107,9.840
Pacific Heights,8.031,8.251,8.160,8.350,8.415,8.320,8.010
Portola,9.942,10.359,10.646,10.052,10.468,10.137,10.385
Potrero Hill,8.925,9.123,9.618,9.417,9.444,9.268,9.344
Presidio,12.290,12.874,11.206,11.558,11.908,12.232,13.412
Presidio Heights,8.958,9.333,8.643,8.906,9.014,8.929,8.527
Russian Hill,9.263,9.350,8.789,8.894,8.848,8.882,8.829
Seacliff,9.699,10.136,9.394,9.935,10.263,10.502,10.091
South of Market,9.204,9.586,9.729,9.856,9.612,9.822,9.399
Sunset/Parkside,9.925,10.208,10.290,9.995,10.100,10.153,9.890
Tenderloin,8.538,8.956,9.096,9.234,9.087,9.191,8.819
Treasure Island,12.032,12.681,12.719,12.950,14.894,13.213,11.929
Twin Peaks,9.927,10.844,10.423,10.471,10.773,11.724,10.104
Visitacion Valley,11.467,11.483,13.511,11.709,11.421,11.934,11.598
West of Twin Peaks,9.529,9.395,10.031,9.561,9.170,9.388,9.472
Western Addition,8.457,8.822,8.931,8.951,8.856,8.889,8.692